weekday,hour,count
3,22,1112.89858547111
3,15,989.7074268567142
7,21,1422.577723378213
6,20,1375.6029729081754
1,0,1480.1400094921685
4,10,999.3023255813955
5,16,1004.9449204406367
6,1,646.9344608879493
3,1,458.43653684505443
7,4,534.1506572295248
2,2,342.74692202462387
6,22,1419.433873619921
3,13,963.930519666954
7,14,1361.187707641197
2,19,1345.245197168858
3,18,1395.45542635659
1,7,604.0798162503585
7,1,1118.224964404366
1,20,1191.623011015912
2,3,252.11465657111947
4,7,944.9055232558143
6,17,1368.59738372093
7,20,1378.7269239990412
1,2,958.7731371618413
6,0,892.814922480621
4,22,1158.3284883720937
4,0,752.7777777777784
1,9,899.6750149075731
2,22,1047.4079457364346
5,22,1262.4308445532442
7,15,1441.310266591039
5,7,957.4103682170538
1,22,1182.7187724766247
5,6,611.3282186526008
4,11,966.3824289405688
6,8,1222.9382345586398
7,22,1462.2401518747033
1,1,1256.9048189882524
6,5,365.3412537917087
4,9,1006.5660564077187
1,3,782.9312015503875
6,12,967.242524916944
6,13,1032.2380300957589
2,17,1318.2888616891062
5,21,1271.9622093023256
6,18,1473.7960271317834
2,14,1009.6349378042192
3,10,1010.8403100775198
7,19,1406.2960271317825
7,23,1527.0930232558144
3,5,374.98581962563804
1,11,1167.348269994328
2,5,348.8708010335917
6,21,1445.0682507583429
7,2,883.1928294573648
3,20,1246.6303809995056
1,4,609.8274568642162
5,4,264.5335471798985
5,17,1262.7619275953007
7,9,1030.319767441861
5,12,1007.7038978054379
5,23,1132.393410852713
2,9,1017.9894973743442
4,17,1301.7054263565885
4,13,975.1162790697679
5,13,968.524150268337
7,3,655.6407214048411
2,15,1019.1949910554564
3,3,221.32336655592462
4,15,995.5736434108525
1,8,746.8438538205978
6,15,1056.0979192166465
4,23,995.7190317987664
3,17,1304.0146878824976
1,16,1239.5322997416026
1,19,1263.4233558389597
1,23,1075.2131782945737
2,21,1094.7760097919224
3,19,1358.9336961900049
6,23,1505.1546391752565
4,3,274.4427665357898
6,7,950.2979651162791
7,12,1238.9876880984957
2,1,528.8372093023254
4,20,1297.4793698424605
7,11,1199.2743065284396
2,18,1395.721899224807
2,20,1205.1592517694644
7,16,1347.1679586563314
5,20,1280.430479960416
2,4,260.352756728508
3,11,1008.7973421926914
4,6,616.1028151774785
6,3,335.95622435020533
3,14,1017.9381735677822
4,21,1239.5723930982751
7,17,1386.0692618806877
1,18,1248.9139295133064
7,18,1399.5972188923522
3,6,657.5075834175931
7,5,430.83333333333366
5,10,1027.4323032813008
6,2,442.7801268498939
1,14,1261.2093023255818
3,9,1024.9865361077113
1,21,1166.6157945736438
5,19,1344.7601744186056
2,0,770.7372587827816
3,21,1178.2461240310083
1,17,1265.581395348838
5,8,1163.7449052984891
5,18,1358.132487667372
4,19,1363.992656058752
6,10,1005.3252870179574
2,11,994.9251353934378
2,12,1027.4641605606887
7,8,895.7267441860473
5,15,956.4017377970871
2,10,1085.800471857095
7,13,1358.010335917313
1,12,1160.7896160086539
2,23,913.8629130966957
5,0,753.4957941613068
3,2,312.7412790697675
4,14,973.4801641586866
1,5,431.67019027484145
5,2,366.9302325581396
5,1,529.1915836101882
6,14,1065.2495427227598
5,3,264.99716392512755
6,11,1002.467532467533
1,15,1329.7310170916228
7,7,739.0108527131781
3,12,1039.4235178512945
3,8,1193.1910812754736
1,13,1228.0164158686734
3,4,258.3778351995406
4,2,358.8372093023254
6,16,1115.1477713178301
7,10,1135.7962908448633
4,18,1413.32534164469
4,4,267.82473057288706
6,6,626.6715116279071
2,8,1156.7369186046512
3,16,1057.3493373343345
3,0,713.4282727985368
6,19,1495.2495155038762
1,6,481.66073871409
1,10,981.798984228816
4,1,508.67031463748316
6,9,1039.740514075888
3,7,998.6714497773381
5,9,1028.3498268184069
5,11,962.8352978655632
5,14,955.4582763337892
2,7,912.107408295373
4,8,1141.5804461319412
4,16,1041.8029507376846
3,23,953.193478782067
4,5,348.83450513791246
5,5,361.7306652244455
7,0,1385.9658281917423
7,6,536.0551248923341
2,13,989.6095320126333
2,16,1097.441860465117
6,4,297.34537357743676
4,12,1036.3687707641202
2,6,600.4530038759689
