company,month,year,pickup_count
juno,3,2019,0
juno,4,2019,0
juno,5,2019,0
juno,6,2019,0
juno,7,2019,0
juno,8,2019,0
juno,9,2019,0
juno,10,2019,0
juno,12,2019,0
juno,1,2020,0
juno,2,2020,0
juno,3,2020,0
juno,4,2020,0
juno,5,2020,0
juno,6,2020,0
juno,7,2020,0
juno,8,2020,0
juno,9,2020,0
juno,10,2020,0
juno,11,2020,0
juno,12,2020,0
juno,1,2021,0
juno,2,2021,0
juno,3,2021,0
juno,4,2021,0
juno,5,2021,0
juno,6,2021,0
juno,7,2021,0
juno,8,2021,0
juno,9,2021,0
juno,10,2021,0
juno,11,2021,0
juno,12,2021,0
juno,1,2022,0
juno,2,2022,0
juno,3,2022,0
juno,4,2022,0
juno,5,2022,0
juno,6,2022,0
juno,7,2022,0
juno,8,2022,0
juno,9,2022,0
juno,10,2022,0
juno,11,2022,0
juno,12,2022,0
juno,1,2023,0
juno,2,2023,0
juno,3,2023,0
juno,4,2023,0
juno,5,2023,0
juno,6,2023,0
juno,7,2023,0
juno,8,2023,0
juno,9,2023,0
uber,2,2019,3947037
uber,3,2019,4012495
uber,4,2019,3368372
uber,5,2019,2974609
uber,6,2019,2252103
uber,7,2019,2312237
uber,8,2019,2283857
uber,9,2019,2165221
uber,10,2019,2080621
uber,12,2019,1746327
uber,1,2020,1756088
uber,2,2020,1788853
uber,3,2020,931196
uber,4,2020,1
uber,5,2020,4
uber,6,2020,0
uber,7,2020,0
uber,8,2020,0
uber,9,2020,2
uber,10,2020,1
uber,11,2020,0
uber,12,2020,2
uber,1,2021,0
uber,2,2021,0
uber,3,2021,0
uber,4,2021,1
uber,5,2021,1
uber,6,2021,1
uber,7,2021,0
uber,8,2021,0
uber,9,2021,1
uber,10,2021,0
uber,11,2021,0
uber,12,2021,0
uber,1,2022,0
uber,2,2022,0
uber,3,2022,0
uber,4,2022,0
uber,5,2022,0
uber,6,2022,42666
uber,7,2022,201010
uber,8,2022,165116
uber,9,2022,149962
uber,10,2022,273452
uber,11,2022,199348
uber,12,2022,191610
uber,1,2023,232019
uber,2,2023,260406
uber,3,2023,273231
uber,4,2023,328417
uber,5,2023,406456
uber,6,2023,383129
uber,7,2023,458806
uber,8,2023,497097
uber,9,2023,567468
via,2,2019,942956
via,3,2019,1034792
via,4,2019,986247
via,5,2019,959783
via,6,2019,856717
via,7,2019,847607
via,8,2019,815419
via,9,2019,808929
via,10,2019,843988
via,12,2019,664098
via,1,2020,676480
via,2,2020,615014
via,3,2020,289797
via,4,2020,0
via,5,2020,1
via,6,2020,148
via,7,2020,1782
via,8,2020,2334
via,9,2020,4982
via,10,2020,7017
via,11,2020,5621
via,12,2020,5190
via,1,2021,5817
via,2,2021,6959
via,3,2021,10781
via,4,2021,11985
via,5,2021,8019
via,6,2021,6661
via,7,2021,61460
via,8,2021,74315
via,9,2021,73064
via,10,2021,25072
via,11,2021,0
via,12,2021,0
via,1,2022,0
via,2,2022,0
via,3,2022,0
via,4,2022,0
via,5,2022,0
via,6,2022,0
via,7,2022,0
via,8,2022,0
via,9,2022,0
via,10,2022,0
via,11,2022,0
via,12,2022,0
via,1,2023,0
via,2,2023,0
via,3,2023,0
via,4,2023,0
via,5,2023,0
via,6,2023,0
via,7,2023,0
via,8,2023,0
via,9,2023,0
lyft,2,2019,1559139
lyft,3,2019,1147028
lyft,4,2019,1008306
lyft,5,2019,1108047
lyft,6,2019,1196575
lyft,7,2019,1134303
lyft,8,2019,1240704
lyft,9,2019,1258086
lyft,10,2019,1489103
lyft,12,2019,1024526
lyft,1,2020,1195570
lyft,2,2020,1295123
lyft,3,2020,557161
lyft,4,2020,0
lyft,5,2020,0
lyft,6,2020,0
lyft,7,2020,0
lyft,8,2020,0
lyft,9,2020,0
lyft,10,2020,0
lyft,11,2020,10
lyft,12,2020,0
lyft,1,2021,0
lyft,2,2021,0
lyft,3,2021,0
lyft,4,2021,10
lyft,5,2021,0
lyft,6,2021,0
lyft,7,2021,0
lyft,8,2021,1371
lyft,9,2021,2696
lyft,10,2021,1513
lyft,11,2021,1649
lyft,12,2021,892
lyft,1,2022,2050
lyft,2,2022,3351
lyft,3,2022,1778
lyft,4,2022,7529
lyft,5,2022,4567
lyft,6,2022,4937
lyft,7,2022,3208
lyft,8,2022,3405
lyft,9,2022,6819
lyft,10,2022,79486
lyft,11,2022,254405
lyft,12,2022,303192
lyft,1,2023,265129
lyft,2,2023,237456
lyft,3,2023,330669
lyft,4,2023,2697
lyft,5,2023,3279
lyft,6,2023,965
lyft,7,2023,260
lyft,8,2023,96
lyft,9,2023,411
