weekday,hour,tips
3,22,1.1162290853588166
3,15,1.1209291453429235
7,21,0.9733668400557518
6,20,0.9713744016038598
1,0,1.0516426470654623
4,10,1.0105286595044929
5,16,1.1999988413812832
6,1,1.0060191973495787
3,1,0.979356389572028
7,4,1.160484313023621
2,2,0.9646833544515723
6,22,1.0158675387803704
3,13,1.0536252171550602
7,14,1.045437575473212
2,19,0.9649412274425323
3,18,1.011712265925522
1,7,1.1197366197011394
7,1,0.9942178177615899
1,20,1.0521542662451806
2,3,1.0803523415879064
4,7,1.0429553647236995
6,17,1.1167444807927274
7,20,0.9694802228612724
1,2,1.016276922925573
6,0,1.0767500568952144
4,22,1.1277349859132582
4,0,1.0286107416005938
1,9,0.9940415805268157
2,22,1.0468202954180377
5,22,1.1421519698375913
7,15,1.0455591512653823
5,7,1.0748414051960857
1,22,1.0917614572643288
5,6,1.1486661638937712
4,11,1.0359067644198992
6,8,1.0355334638689557
7,22,1.024486659064605
1,1,1.0155247982339108
6,5,1.2884252199361912
4,9,0.9997045181175452
1,3,1.055539555810723
6,12,1.0983520364691388
6,13,1.1448527329648972
2,17,1.0496207891499143
5,21,1.099450493550767
6,18,1.0469846174982695
2,14,1.092230763021798
3,10,1.0085240638515744
7,19,0.9795407510652304
7,23,1.0834796898991776
3,5,1.2005704943925368
1,11,1.0285570600885183
2,5,1.2718694506016743
6,21,0.9774954858655375
7,2,1.0113649055994864
3,20,1.032177524135259
1,4,1.1757546350063937
5,4,1.2557850474241055
5,17,1.1381047295495716
7,9,0.969189500196071
5,12,1.0785531848642569
5,23,1.1273716389801602
2,9,1.0089055513170953
4,17,1.0942304552171151
4,13,1.0762972601078489
5,13,1.1126254786301897
7,3,1.031434730583901
2,15,1.1190884408352026
3,3,1.079385988376323
4,15,1.1500377752097997
1,8,1.0460443342853667
6,15,1.2288517364331843
4,23,1.0951186823170567
3,17,1.0685097967031303
1,16,1.1091422646467584
1,19,1.039188138069327
1,23,1.1096331956676886
2,21,1.0360767468754712
3,19,0.9748371010652165
6,23,1.061129703513482
4,3,1.0437654633131639
6,7,1.078751626737488
7,12,1.024626364797303
2,1,0.9907010533291738
4,20,1.048794678093875
7,11,0.9950879722696933
2,18,0.996502942937832
2,20,0.9979108664773336
7,16,1.0452041973488684
5,20,1.0572824026354695
2,4,1.2810563485036641
3,11,1.0249394494384623
4,6,1.1063264714648031
6,3,1.0578897430742509
3,14,1.0849941896358195
4,21,1.1023774721090207
7,17,1.0265194355121987
1,18,1.0449483086364506
7,18,0.9979046714972062
3,6,1.0927137929361335
7,5,1.2501478215872408
5,10,1.0345602153424205
6,2,0.9971374081072976
1,14,1.1006930800847228
3,9,0.9974972960680695
1,21,1.0673460971464366
5,19,1.0105639313902843
2,0,1.0510015672039525
3,21,1.0881578511054824
1,17,1.0860998759668592
5,8,1.0484573657656402
5,18,1.0698527771721713
4,19,0.9851646830659112
6,10,1.0322137530105886
2,11,1.0305036299680899
2,12,1.0340849706883308
7,8,1.007008132401607
5,15,1.2029054535244195
2,10,1.016989010385967
7,13,1.032871835800518
1,12,1.0566598937653808
2,23,1.044878977398892
5,0,1.0381040188822217
3,2,0.9695478635257356
4,14,1.112388722105251
1,5,1.25242558316527
5,2,0.9778597864508174
5,1,0.9814634377267839
6,14,1.1927258276013488
5,3,1.0715508937988052
6,11,1.0628442576030006
1,15,1.114110270420645
7,7,1.0792732266028893
3,12,1.0364912827193273
3,8,1.0201187774173928
1,13,1.079259041074025
3,4,1.225014797463797
4,2,0.9541251766213211
6,16,1.191756788199826
7,10,0.9745171983116822
4,18,1.0301098817065433
4,4,1.214247937646324
6,6,1.1809341513012372
2,8,1.050774542237844
3,16,1.1092935988692265
3,0,1.029133668609311
6,19,0.9916734711970747
1,6,1.2239134858365701
1,10,1.0026187457053144
4,1,0.9740912707330255
6,9,1.0155655989459433
3,7,1.034681578583878
5,9,1.0163206644135545
5,11,1.0567516256302874
5,14,1.1625965341288629
2,7,1.0949138168349126
4,8,1.0230217225541796
4,16,1.1481256374465731
3,23,1.0619247509748992
4,5,1.2028930958508974
5,5,1.2431631258826732
7,0,1.0481613362783104
7,6,1.2026073589119453
2,13,1.0586367703290538
2,16,1.104324928582109
6,4,1.2765343954599273
4,12,1.0555199757287197
2,6,1.1858323432166786
