year,month,tip_count,without_tip_count
2019,2,0,0
2019,3,0,0
2019,4,0,0
2019,5,0,0
2019,6,0,0
2019,7,0,0
2019,8,0,0
2019,9,0,0
2019,10,0,0
2019,12,0,0
2020,1,0,0
2020,2,0,0
2020,3,0,0
2020,4,0,0
2020,5,0,0
2020,6,0,0
2020,7,0,0
2020,8,0,0
2020,9,0,0
2020,10,0,0
2020,11,0,0
2020,12,0,0
2021,1,0,0
2021,2,0,0
2021,3,0,0
2021,4,0,0
2021,5,0,0
2021,6,0,0
2021,7,0,0
2021,8,0,0
2021,9,0,0
2021,10,0,0
2021,11,0,0
2021,12,0,0
2022,1,0,0
2022,2,0,0
2022,3,0,0
2022,4,0,0
2022,5,0,0
2022,6,0,0
2022,7,0,0
2022,8,0,0
2022,9,0,0
2022,10,0,0
2022,11,0,0
2022,12,0,0
2023,1,0,0
2023,2,0,0
2023,3,0,0
2023,4,0,0
2023,5,0,0
2023,6,0,0
2023,7,0,0
2023,8,0,0
2023,9,0,0
2019,2,1622276,11879299
2019,3,2050445,15193456
2019,4,1897969,13746357
2019,5,1940901,13930080
2019,6,1832196,12560567
2019,7,1678533,12362151
2019,8,1469686,12453893
2019,9,1734061,12215573
2019,10,1879135,12618587
2019,12,2111821,13991057
2020,1,1817313,12763720
2020,2,1890496,13851735
2020,3,1023761,8812124
2020,4,288478,2813837
2020,5,513904,3844809
2020,6,673937,4439532
2020,7,809549,6270897
2020,8,648492,7206980
2020,9,909690,7936921
2020,10,1081401,8715064
2020,11,937218,7436781
2020,12,936991,7548058
2021,1,959857,7742912
2021,2,912132,7377256
2021,3,1126584,9045227
2021,4,1254467,8981753
2021,5,1498601,9306666
2021,6,1646546,9098814
2021,7,1665556,9036650
2021,8,1653007,8541379
2021,9,1784339,8770735
2021,10,2112652,9970881
2021,11,2206048,9610521
2021,12,2257824,9541347
2022,1,1800180,9023923
2022,2,2103706,9334544
2022,3,2572227,10561211
2022,4,2633334,10374832
2022,5,2680587,10640271
2022,6,2625047,10421415
2022,7,2497582,10075508
2022,8,2479803,10018288
2022,9,2663409,10236066
2022,10,2943945,11155393
2022,11,2707407,10257546
2022,12,2995240,11009421
2023,1,2658655,10918498
2023,2,2232818,11045841
2023,3,2828066,11722525
2023,4,2774878,11220682
2023,5,2948367,11326617
2023,6,2830841,10978601
2023,7,2852143,10877316
2023,8,2570150,10570782
2023,9,2856133,11451911
2019,2,102855,879161
2019,3,89173,988005
2019,4,92930,949909
2019,5,89906,935397
2019,6,82583,844842
2019,7,83493,833925
2019,8,80135,799431
2019,9,75005,787878
2019,10,78556,817974
2019,12,66320,638519
2020,1,61941,647989
2020,2,56069,583432
2020,3,29959,306286
2020,4,6825,58991
2020,5,11614,96979
2020,6,15271,114100
2020,7,18289,141322
2020,8,18303,148182
2020,9,15903,125482
2020,10,15739,130609
2020,11,13600,116535
2020,12,13650,112257
2021,1,11861,97386
2021,2,10015,74886
2021,3,11926,94143
2021,4,10718,88526
2021,5,10374,81678
2021,6,9230,70948
2021,7,10824,79178
2021,8,11019,81977
2021,9,9429,78079
2021,10,3000,26194
2021,11,0,0
2021,12,0,0
2022,1,0,0
2022,2,0,0
2022,3,0,0
2022,4,0,0
2022,5,0,0
2022,6,0,0
2022,7,0,0
2022,8,0,0
2022,9,0,0
2022,10,0,0
2022,11,0,0
2022,12,0,0
2023,1,0,0
2023,2,0,0
2023,3,0,0
2023,4,0,0
2023,5,0,0
2023,6,0,0
2023,7,0,0
2023,8,0,0
2023,9,0,0
2019,2,958828,3731098
2019,3,1036199,3661335
2019,4,956560,3332843
2019,5,1025491,3655582
2019,6,1075648,3922928
2019,7,888351,3793393
2019,8,800494,3897294
2019,9,804642,3806390
2019,10,911712,4434053
2019,12,970172,4067609
2020,1,980430,4169442
2020,2,1104310,4234920
2020,3,589972,2629380
2020,4,163342,980708
2020,5,232331,1389125
2020,6,350707,1960100
2020,7,429069,2286972
2020,8,511920,2560671
2020,9,538976,2577797
2020,10,594441,2728362
2020,11,524876,2565490
2020,12,515143,2507943
2021,1,515749,2578247
2021,2,566199,2670662
2021,3,694078,3252224
2021,4,712892,3055526
2021,5,726765,3087175
2021,6,793926,3336238
2021,7,817545,3411836
2021,8,800067,3408724
2021,9,846969,3393054
2021,10,925099,3503915
2021,11,862609,3358973
2021,12,862767,3389121
2022,1,718338,3206436
2022,2,860092,3717824
2022,3,1023197,4293610
2022,4,961451,3779574
2022,5,993558,3837763
2022,6,988541,3741129
2022,7,978625,3909738
2022,8,936285,3748229
2022,9,989851,3900840
2022,10,1063668,4138880
2022,11,1019232,4097811
2022,12,1119184,4537897
2023,1,919968,3978169
2023,2,904318,3775033
2023,3,1159961,4699432
2023,4,1035177,4110724
2023,5,1110170,4459144
2023,6,1121384,4432705
2023,7,1096306,4303173
2023,8,1034384,4143894
2023,9,1128883,4409871
