month_year,avg_total_amount,avg_fare_amount,avg_tip_amount,total_passenger_count,avg_time_diff,avg_speed
11-2019,15.672121212121214,10.333333333333334,2.0084848484848483,51.0,5212.787878787879,8.277003315592534
3-2020,18.962857142857143,12.428571428571429,2.7314285714285718,12.0,4363.428571428572,11.549587807229281
8-2019,19.382845254656885,13.37859641590531,2.1696396307480694,9409085.0,1078.495011454384,11.844597162425952
7-2020,11.386666666666665,6.833333333333333,0.7533333333333333,6.0,377.0,12.357926591044995
4-2020,20.088,12.65,2.976,10.0,9180.9,9.107755491825559
10-2019,20.89402985074626,14.208955223880597,2.7383582089552236,100.0,8403.76119402985,8.18098702233673
1-2020,20.941333333333336,14.2,2.5253333333333337,25.0,5988.466666666666,8.819455462142656
7-2019,21.482666666666688,14.713333333333333,2.6848,280.0,2959.2533333333336,16.666298615663795
5-2020,11.786923076923078,7.269230769230769,1.033076923076923,13.0,2413.6153846153848,11.651385006133406
12-2019,14.704634146341457,10.512195121951219,1.2499999999999998,75.0,5658.1463414634145,8.093490201427272
9-2019,21.12989999999999,14.885,2.5851000000000006,153.0,6203.43,10.814413985554417
2-2020,20.365000000000002,14.458333333333334,2.231666666666667,21.0,7632.25,6.868021463706181
6-2020,11.388,6.0,1.5880000000000003,5.0,5350.6,12.528005090742425
